nome,cnpj,inscricao_estadual,data_abertura,site,email,cep,endereco,numero,bairro,cidade,estado,telefone,celular,nome_fantasia
Vinicius e Leandro Financeira Ltda,23926984000131,106872176,27/01/2019,www.viniciuseleandrofinanceiraltda.com.br,fiscal@viniciuseleandrofinanceiraltda.com.br,74993-740,Rua das Fontes,504,Terra do Sol,Aparecida de Goiânia,GO,(62) 2556-2099,(62) 99244-6184,Vinicius e Leandro
Débora e Melissa Doces & Salgados ME,77438635000108,114514925,26/02/2019,www.deboraemelissadocessalgadosme.com.br,administracao@deboraemelissadocessalgadosme.com.br,75711-600,Rua Manaus,606,Loteamento Jardim Paraíso,Catalão,GO,(64) 3545-5742,(64) 98387-3296,Débora e Melissa
Bento e Olivia Locações de Automóveis ME,15747132000159,73644534,24/08/2019,www.bentoeolivialocacoesdeautomoveisme.com.br,rh@bentoeolivialocacoesdeautomoveisme.com.br,21843-646,Travessa Dona Eldevira,258,Senador Camará,Rio de Janeiro,RJ,(21) 2924-1400,(21) 99318-4143,Bento Automóveis
Martin e Francisca Transportes ME,25640387000171,105588172,16/04/2019,www.martinefranciscatransportesme.com.br,contato@martinefranciscatransportesme.com.br,74940-440,Rua E,769,Itapoã,Aparecida de Goiânia,GO,(62) 2765-0298,(62) 99214-7287,Martin Transportes
Cláudio e Jaqueline Corretores Associados Ltda,53148571000134,0736233800196,04/05/2019,www.claudioejaquelinecorretoresassociadosltda.com.br,sac@claudioejaquelinecorretoresassociadosltda.com.br,70380-970,CRS 514 Bloco B Lojas 53/57,291,Asa Sul,Brasília,DF,(61) 2695-3637,(61) 98562-8448,Cláudio e Jaqueline Corretores
Carla e Enrico Pizzaria Ltda,47147306000139,67626710,15/11/2019,www.carlaeenricopizzarialtda.com.br,fiscal@carlaeenricopizzarialtda.com.br,25900-276,Rua Farmacêutico Deodoro Marçal Pinto,262,Flexeiras,Magé,RJ,(21) 3756-3258,(21) 98407-4356,Carla e Enrico Pizzaria
Nelson e Juan Joalheria ME,19178009000115,0775120700146,24/05/2019,www.nelsonejuanjoalheriame.com.br,qualidade@nelsonejuanjoalheriame.com.br,72338-761,Quadra QR 833 Conjunto 11,244,Samambaia Norte (Samambaia),Brasília,DF,(61) 3981-9433,(61) 98137-3580,Nelson e Juan
Lorenzo e Sérgio Pães e Doces ME,48572664000151,47347955,27/02/2019,www.lorenzoesergiopaesedocesme.com.br,manutencao@lorenzoesergiopaesedocesme.com.br,26450-260,Rua Abrantes,837,Santa Inês,Japeri,RJ,(21) 2696-9292,(21) 98121-6423,Lorenzo e Sérgio Pães e Doces
André e Mateus Pizzaria ME,45208598000147,109951590,27/06/2019,www.andreemateuspizzariame.com.br,financeiro@andreemateuspizzariame.com.br,75085-250,Rua SW 10,815,Vila Norte,Anápolis,GO,(62) 3801-9834,(62) 99102-6412,André Pizzaria
Paulo e Arthur Assessoria Jurídica ME,03020606000187,0753429800199,21/11/2019,www.pauloearthurassessoriajuridicame.com.br,suporte@pauloearthurassessoriajuridicame.com.br,72325-581,Quadra QS 423 Conjunto A,706,Samambaia Norte (Samambaia),Brasília,DF,(61) 2757-1314,(61) 99156-4315,Paulo e Arthur Assessoria Jurídica
Samuel e Luiz Casa Noturna Ltda,06679823000171,157592634,13/11/2019,www.samueleluizcasanoturnaltda.com.br,ti@samueleluizcasanoturnaltda.com.br,75143-535,Rua Francisco Silvério,974,Jardim Suíço,Anápolis,GO,(62) 3746-0280,(62) 99484-7853,Samuel Noturna
Emanuel e Kauê Entregas Expressas Ltda,83077886000107,0755047200172,16/03/2019,www.emanuelekaueentregasexpressasltda.com.br,seguranca@emanuelekaueentregasexpressasltda.com.br,71266-110,Quadra Quadra 2 Conjunto 2,521,Setor Especial (Vila Estrutural - Guará),Brasília,DF,(61) 2877-6121,(61) 99319-8056,Emanuel e Kauê Entregas
Giovanna e Thiago Casa Noturna ME,83582549000169,68270057,19/05/2019,www.giovannaethiagocasanoturname.com.br,producao@giovannaethiagocasanoturname.com.br,22211-140,Rua Antônio Mendes Campos,614,Glória,Rio de Janeiro,RJ,(21) 2920-6547,(21) 98206-9534,Giovanna e Thiago Casa Noturna
Gustavo e André Alimentos Ltda,62369874000178,206699638,01/04/2019,www.gustavoeandrealimentosltda.com.br,financeiro@gustavoeandrealimentosltda.com.br,72887-348,Quadra Quadra 117,157,Mansões Recreio Estrela D'Alva III,Cidade Ocidental,GO,(61) 3565-0432,(61) 99785-0641,Gustavo Alimentos
Ricardo e Bento Eletrônica Ltda,58620432000185,73550440,15/12/2019,www.ricardoebentoeletronicaltda.com.br,rh@ricardoebentoeletronicaltda.com.br,27971-665,Rua Wilson Carlos de Azevedo Dias,364,Ajuda,Macaé,RJ,(22) 3932-7441,(22) 98417-1077,Ricardo e Bento Eletrônica
Camila e Jennifer Marketing Ltda,84827847000134,111542863,01/02/2019,www.camilaejennifermarketingltda.com.br,almoxarifado@camilaejennifermarketingltda.com.br,73753-145,Quadra 8 LE 10,942,Setor Sul,Planaltina,GO,(61) 3908-8661,(61) 98197-3305,Camila e Jennifer
Elias e Anderson Advocacia ME,14278928000147,154381276,22/01/2019,www.eliaseandersonadvocaciame.com.br,cobranca@eliaseandersonadvocaciame.com.br,75044-220,Praça João Salomão,886,Vila São Jorge,Anápolis,GO,(62) 2765-1518,(62) 99980-4354,Elias e Anderson
Manoel e Lara Entulhos Ltda,11361758000171,0706602300120,14/10/2019,www.manoelelaraentulhosltda.com.br,ti@manoelelaraentulhosltda.com.br,73030-031,Quadra Quadra 3 Conjunto A,609,Sobradinho,Brasília,DF,(61) 3848-3712,(61) 98471-7735,Manoel e Lara
Giovana e Bruno Joalheria ME,75192852000127,74886019,05/11/2019,www.giovanaebrunojoalheriame.com.br,sac@giovanaebrunojoalheriame.com.br,25215-295,Rua Frei Monsueto Cone,713,Jardim Primavera,Duque de Caxias,RJ,(21) 2682-1967,(21) 99166-7120,Giovana e Bruno
Mariana e Thiago Fotografias Ltda,40170355000143,95910033,18/06/2019,www.marianaethiagofotografiasltda.com.br,financeiro@marianaethiagofotografiasltda.com.br,25265-230,Rua Ricardo Xavier da Silveira,536,Parada Morabi,Duque de Caxias,RJ,(21) 3620-9691,(21) 98458-1410,Mariana e Thiago Fotografias
Elza e Elaine Construções Ltda,52838400000174,65746409,25/11/2019,www.elzaeelaineconstrucoesltda.com.br,financeiro@elzaeelaineconstrucoesltda.com.br,24755-435,Rua Expedicionário Aldemir Dias Santos,538,Arsenal,São Gonçalo,RJ,(21) 3520-7476,(21) 98428-0565,Elza e Elaine
Melissa e Davi Telas ME,89553525000168,59654527,27/06/2019,www.melissaedavitelasme.com.br,ouvidoria@melissaedavitelasme.com.br,28637-971,"Rua do Posto de Saúde, s/n",995,Campinas,Sumidouro,RJ,(22) 2548-9753,(22) 99125-1502,Melissa e Davi Telas
Valentina e Bruno Pizzaria Delivery Ltda,54561408000161,61897003,18/08/2019,www.valentinaebrunopizzariadeliveryltda.com.br,almoxarifado@valentinaebrunopizzariadeliveryltda.com.br,27945-020,Rua Orlando Farrula,114,Jardim Santo Antônio,Macaé,RJ,(22) 2577-5044,(22) 98160-6774,Valentina Delivery
Alexandre e Antonio Limpeza Ltda,81150309000160,68117658,20/03/2019,www.alexandreeantoniolimpezaltda.com.br,contato@alexandreeantoniolimpezaltda.com.br,26453-290,Rua Gago Coutinho,830,Jardim Transmontano,Japeri,RJ,(21) 2979-5369,(21) 99514-5651,Alexandre e Antonio Limpeza
Edson e Vicente Informática Ltda,65946678000107,0792841100132,19/09/2019,www.edsonevicenteinformaticaltda.com.br,contato@edsonevicenteinformaticaltda.com.br,72621-117,Quadra Quadra 304 Área Especial 15,501,Recanto das Emas,Brasília,DF,(61) 3692-7357,(61) 98713-3526,Edson e Vicente Informática
Vicente e Isabella Informática Ltda,99659982000195,118925814,06/12/2019,www.vicenteeisabellainformaticaltda.com.br,pesquisa@vicenteeisabellainformaticaltda.com.br,74594-037,Rua FN 4,104,Jardim Fonte Nova,Goiânia,GO,(62) 2686-7669,(62) 98281-2525,Vicente Informática
Sophia e Eduarda Buffet Ltda,38717409000104,101520115,14/09/2019,www.sophiaeeduardabuffetltda.com.br,comunicacoes@sophiaeeduardabuffetltda.com.br,74946-280,Rua 123B,688,Jardim Tropical,Aparecida de Goiânia,GO,(62) 2958-5304,(62) 98612-8011,Sophia Buffet
Lorena e Daniel Publicidade e Propaganda ME,46216007000146,66870618,09/10/2019,www.lorenaedanielpublicidadeepropagandame.com.br,comunicacoes@lorenaedanielpublicidadeepropagandame.com.br,20941-340,Rua Exal,351,São Cristóvão,Rio de Janeiro,RJ,(21) 3805-9535,(21) 99720-1233,Lorena e Daniel
César e Emanuelly Telas Ltda,58574763000126,204072352,02/01/2019,www.cesareemanuellytelasltda.com.br,estoque@cesareemanuellytelasltda.com.br,72856-709,Quadra Quadra 709,922,Parque Estrela Dalva X,Luziânia,GO,(61) 3870-2475,(61) 98226-5877,César Telas
Olivia e Camila Pães e Doces ME,67659459000172,10862272,10/08/2019,www.oliviaecamilapaesedocesme.com.br,auditoria@oliviaecamilapaesedocesme.com.br,26113-120,Rua Itacure,315,Bom Pastor,Belford Roxo,RJ,(21) 3816-9366,(21) 98641-1505,Olivia e Camila
Nair e André Fotografias ME,21095020000163,0767010000157,18/10/2019,www.naireandrefotografiasme.com.br,ouvidoria@naireandrefotografiasme.com.br,71698-028,Setor SOF Conjunto 10,257,Bonsucesso (São Sebastião),Brasília,DF,(61) 2700-2266,(61) 99792-9035,Nair Fotografias
Ricardo e Tomás Gráfica ME,80939800000101,100213499,08/01/2019,www.ricardoetomasgraficame.com.br,presidencia@ricardoetomasgraficame.com.br,74830-070,Rua Guaporé,875,Jardim das Esmeraldas,Goiânia,GO,(62) 3993-1364,(62) 98477-2489,Ricardo e Tomás
Andrea e Leonardo Publicidade e Propaganda ME,95524340000128,0718835300142,27/08/2019,www.andreaeleonardopublicidadeepropagandame.com.br,contabil@andreaeleonardopublicidadeepropagandame.com.br,72303-534,Quadra QS 127 Conjunto D,238,Samambaia Sul (Samambaia),Brasília,DF,(61) 2714-7219,(61) 99429-8935,Andrea e Leonardo Publicidade e Propaganda
Luciana e Eduarda Entulhos Ltda,97846389000122,0735546500169,23/04/2019,www.lucianaeeduardaentulhosltda.com.br,administracao@lucianaeeduardaentulhosltda.com.br,70846-080,Quadra SQN 405 Bloco H,685,Asa Norte,Brasília,DF,(61) 2807-3213,(61) 99752-9135,Luciana Entulhos
Sebastiana e Emanuelly Buffet ME,81441953000197,10364809,09/07/2019,www.sebastianaeemanuellybuffetme.com.br,vendas@sebastianaeemanuellybuffetme.com.br,25050-590,Rua Francisco Portela,371,Jardim Gramacho,Duque de Caxias,RJ,(21) 2661-1892,(21) 98869-1583,Sebastiana e Emanuelly Buffet
Marcelo e Raul Marcenaria Ltda,98599596000192,55746540,12/04/2019,www.marceloeraulmarcenarialtda.com.br,producao@marceloeraulmarcenarialtda.com.br,21211-790,Rua Padre Manuel Viegas,972,Braz de Pina,Rio de Janeiro,RJ,(21) 2777-0275,(21) 99209-8962,Marcelo e Raul Marcenaria
Ruan e Paulo Alimentos ME,28222700000140,0733610700180,02/02/2019,www.ruanepauloalimentosme.com.br,cobranca@ruanepauloalimentosme.com.br,70675-209,Quadra QRSW 2 Bloco A-9,324,Setor Sudoeste,Brasília,DF,(61) 2771-4521,(61) 99787-5673,Ruan e Paulo Alimentos
Giovanna e Eliane Pizzaria ME,13491031000134,69379877,24/08/2019,www.giovannaeelianepizzariame.com.br,orcamento@giovannaeelianepizzariame.com.br,26210-090,Rua Alberto Cocoza,633,Centro,Nova Iguaçu,RJ,(21) 3818-3053,(21) 99843-1917,Giovanna e Eliane Pizzaria
Mariane e Diogo Ferragens Ltda,05501245000116,0761289900154,26/09/2019,www.marianeediogoferragensltda.com.br,contabilidade@marianeediogoferragensltda.com.br,72548-243,Quadra CL 418 Bloco C,734,Santa Maria,Brasília,DF,(61) 3623-1394,(61) 98497-2198,Mariane Ferragens
Rafael e Isis Telas ME,97711482000120,12504829,22/04/2019,www.rafaeleisistelasme.com.br,orcamento@rafaeleisistelasme.com.br,26415-350,Rua Ponciano Gomes,707,Parque Guandu,Japeri,RJ,(21) 3605-8747,(21) 99903-3267,Rafael e Isis
Mariah e Bryan Vidros ME,28728838000115,33921578,25/03/2019,www.mariahebryanvidrosme.com.br,ti@mariahebryanvidrosme.com.br,22785-330,Estrada da Grota Funda,506,Vargem Grande,Rio de Janeiro,RJ,(21) 2561-5102,(21) 99206-2761,Mariah e Bryan
Sônia e Alícia Telecom Ltda,89530798000197,11643965,25/08/2019,www.soniaealiciatelecomltda.com.br,diretoria@soniaealiciatelecomltda.com.br,26083-455,Rua Manoel Fernandes,774,Rodilândia,Nova Iguaçu,RJ,(21) 3637-6654,(21) 98515-9388,Sônia e Alícia
Augusto e Benedito Padaria ME,09824814000115,89072808,07/06/2019,www.augustoebeneditopadariame.com.br,representantes@augustoebeneditopadariame.com.br,21010-721,Rua da Paz,520,Parada de Lucas,Rio de Janeiro,RJ,(21) 2578-7102,(21) 99661-8752,Augusto e Benedito Padaria
Tereza e Luiz Pizzaria Delivery ME,14245150000170,0753997200168,24/11/2019,www.terezaeluizpizzariadeliveryme.com.br,financeiro@terezaeluizpizzariadeliveryme.com.br,72333-005,Quadra QR 617 Conjunto 5,472,Samambaia Norte (Samambaia),Brasília,DF,(61) 3740-1601,(61) 99650-4549,Tereza e Luiz Pizzaria Delivery
Pedro e Fernando Gráfica ME,10339806000162,0764471200183,12/03/2019,www.pedroefernandograficame.com.br,fiscal@pedroefernandograficame.com.br,72322-815,Quadra QI 616 Conjunto E,344,Samambaia Norte (Samambaia),Brasília,DF,(61) 3682-8703,(61) 98148-0139,Pedro Gráfica
Tomás e Bruna Fotografias Ltda,75136559000142,0758060400192,07/04/2019,www.tomasebrunafotografiasltda.com.br,auditoria@tomasebrunafotografiasltda.com.br,71884-246,Quadra QS 6 Conjunto 3,489,Riacho Fundo II,Brasília,DF,(61) 2590-8985,(61) 98188-5576,Tomás e Bruna Fotografias
Ian e Alexandre Contábil ME,12709396000120,209287144,14/06/2019,www.ianealexandrecontabilme.com.br,pesquisa@ianealexandrecontabilme.com.br,75806-048,Rua 05,820,Santo Antônio,Jataí,GO,(64) 3618-2507,(64) 99244-2131,Ian e Alexandre
Pietra e Márcio Contábil ME,54297247000140,70030055,06/12/2019,www.pietraemarciocontabilme.com.br,ouvidoria@pietraemarciocontabilme.com.br,26551-270,Rua Nilza Gurgel,743,Vila Emil,Mesquita,RJ,(21) 3987-9335,(21) 98336-1795,Pietra e Márcio
Alana e Samuel Financeira ME,75466230000140,0766472800199,06/12/2019,www.alanaesamuelfinanceirame.com.br,financeiro@alanaesamuelfinanceirame.com.br,71261-110,Quadra Quadra 2 Conjunto 2,965,Setor Leste (Vila Estrutural - Guará),Brasília,DF,(61) 3510-9724,(61) 98330-9571,Alana e Samuel Financeira
Isabelle e Antonio Transportes ME,85524683000139,209203722,20/05/2019,www.isabelleeantoniotransportesme.com.br,pesquisa@isabelleeantoniotransportesme.com.br,72853-271,Quadra Quadra 271,510,Parque Estrela Dalva IX,Luziânia,GO,(61) 3741-1432,(61) 98949-1097,Isabelle e Antonio
Tomás e Aline Corretores Associados ME,24226869000117,0731376600106,14/10/2019,www.tomasealinecorretoresassociadosme.com.br,almoxarifado@tomasealinecorretoresassociadosme.com.br,72316-216,Quadra QR 210 Conjunto 15,842,Samambaia Norte (Samambaia),Brasília,DF,(61) 3929-6909,(61) 98784-8690,Tomás e Aline
Matheus e Thales Pães e Doces Ltda,45536266000191,28292007,26/07/2019,www.matheusethalespaesedocesltda.com.br,contabilidade@matheusethalespaesedocesltda.com.br,24925-440,Rua Três,170,Bananal (Ponta Negra),Maricá,RJ,(21) 2554-8409,(21) 98373-2160,Matheus e Thales
Lara e Ana Contábil Ltda,67389337000103,56690700,02/08/2019,www.laraeanacontabilltda.com.br,contato@laraeanacontabilltda.com.br,23075-090,Praça Helton Veloso Filho,722,Campo Grande,Rio de Janeiro,RJ,(21) 2636-5410,(21) 98953-7855,Lara e Ana Contábil
Antônia e Sarah Fotografias ME,77053358000107,100973094,10/10/2019,www.antoniaesarahfotografiasme.com.br,rh@antoniaesarahfotografiasme.com.br,72859-224,Quadra Quadra 224,612,Mansões de Recreio Estrela Dalva VIII,Luziânia,GO,(61) 3502-6459,(61) 99228-4540,Antônia Fotografias
João e Yasmin Marketing Ltda,10225125000173,119669404,07/08/2019,www.joaoeyasminmarketingltda.com.br,faleconosco@joaoeyasminmarketingltda.com.br,74966-686,Rua Dom Pedro I,714,Jardim Riviera,Aparecida de Goiânia,GO,(62) 2686-3688,(62) 99347-6140,João e Yasmin
Elias e Liz Casa Noturna ME,61667386000184,154527726,03/04/2019,www.eliaselizcasanoturname.com.br,producao@eliaselizcasanoturname.com.br,73809-010,Avenida Flamboyant,813,Residencial Jardim Planalto,Formosa,GO,(61) 2984-0868,(61) 99922-7380,Elias e Liz Casa Noturna
Renata e César Filmagens Ltda,99594618000194,83667001,27/09/2019,www.renataecesarfilmagensltda.com.br,seguranca@renataecesarfilmagensltda.com.br,25231-120,Rua Aníbal Benévolo,607,Chácaras Rio-Petrópolis,Duque de Caxias,RJ,(21) 2905-4127,(21) 98737-1465,Renata e César Filmagens
Henry e Rita Limpeza Ltda,93128110000114,15611014,04/04/2019,www.henryeritalimpezaltda.com.br,contabil@henryeritalimpezaltda.com.br,24350-410,Rua Hermes da Matta Barcellos,114,Piratininga,Niterói,RJ,(21) 2934-2853,(21) 98928-6438,Henry Limpeza
Raul e Ayla Esportes ME,59865158000177,156791498,17/01/2019,www.rauleaylaesportesme.com.br,administracao@rauleaylaesportesme.com.br,72810-070,Travessa Alagados,565,Diogo Machado de Araújo,Luziânia,GO,(61) 3610-1244,(61) 99797-0876,Raul e Ayla Esportes
Tereza e Maria Publicidade e Propaganda ME,17435359000194,155389653,16/06/2019,www.terezaemariapublicidadeepropagandame.com.br,marketing@terezaemariapublicidadeepropagandame.com.br,74815-445,Rua 12-A,219,Vila São João,Goiânia,GO,(62) 2534-3979,(62) 99526-8006,Tereza e Maria Publicidade
Malu e Levi Construções ME,78856044000105,114874867,18/06/2019,www.malueleviconstrucoesme.com.br,qualidade@malueleviconstrucoesme.com.br,74989-170,Avenida Duarte Sabino,934,Rosa dos Ventos,Aparecida de Goiânia,GO,(62) 3557-1223,(62) 99610-3729,Malu e Levi Construções
Isadora e Sophia Pizzaria Ltda,22020522000198,0732402800110,22/02/2019,www.isadoraesophiapizzarialtda.com.br,sistema@isadoraesophiapizzarialtda.com.br,71692-360,Quadra Quadra 104 Conjunto 12,973,Setor Residencial Oeste (São Sebastião),Brasília,DF,(61) 2563-1220,(61) 99761-0913,Isadora e Sophia Pizzaria
Pedro e Valentina Entregas Expressas Ltda,35768763000161,105231452,26/01/2019,www.pedroevalentinaentregasexpressasltda.com.br,representantes@pedroevalentinaentregasexpressasltda.com.br,74375-670,Rua do Ouro,624,Parque Oeste Industrial,Goiânia,GO,(62) 3940-7532,(62) 98801-3676,Pedro e Valentina Entregas
Andrea e Isadora Lavanderia ME,02703047000147,57225599,14/09/2019,www.andreaeisadoralavanderiame.com.br,qualidade@andreaeisadoralavanderiame.com.br,26123-060,Rua Margem Esquerda,340,Heliópolis,Belford Roxo,RJ,(21) 3800-0021,(21) 99449-5678,Andrea Lavanderia
Heloisa e Francisco Limpeza ME,59336535000180,153680318,12/10/2019,www.heloisaefranciscolimpezame.com.br,marketing@heloisaefranciscolimpezame.com.br,74890-080,Rua 2 Unidade 301,291,Parque Atheneu,Goiânia,GO,(62) 3954-4554,(62) 99112-6028,Heloisa e Francisco Limpeza
Vera e Bruna Assessoria Jurídica Ltda,78502232000135,57094885,04/06/2019,www.veraebrunaassessoriajuridicaltda.com.br,ouvidoria@veraebrunaassessoriajuridicaltda.com.br,25525-531,Rua Doutor Belisário Pena,838,Tomazinho,São João de Meriti,RJ,(21) 2751-3530,(21) 99271-1093,Vera e Bruna Assessoria
Isabel e Renato Locações de Automóveis ME,62953179000159,203991044,20/03/2019,www.isabelerenatolocacoesdeautomoveisme.com.br,seguranca@isabelerenatolocacoesdeautomoveisme.com.br,72921-527,Quadra Quadra 3,740,Jardim América VI,Águas Lindas de Goiás,GO,(61) 3806-3088,(61) 99502-3905,Isabel Automóveis
Enrico e Sophia Informática ME,93856210000167,115251014,22/01/2019,www.enricoesophiainformaticame.com.br,orcamento@enricoesophiainformaticame.com.br,74455-363,Viela A,514,Residencial Jardim Leblon,Goiânia,GO,(62) 3980-8378,(62) 99357-5800,Enrico Informática
Kauê e Yuri Transportes Ltda,02455008000178,40419810,22/07/2019,www.kaueeyuritransportesltda.com.br,desenvolvimento@kaueeyuritransportesltda.com.br,28894-514,Rua Maria Pires,634,Nova Cidade,Rio das Ostras,RJ,(22) 3764-5262,(22) 99748-3191,Kauê Transportes
Emanuelly e Theo Corretores Associados ME,35956281000135,152408932,25/07/2019,www.emanuellyetheocorretoresassociadosme.com.br,compras@emanuellyetheocorretoresassociadosme.com.br,74921-317,Rua X 22,950,Setor Tocantins,Aparecida de Goiânia,GO,(62) 3598-2702,(62) 99638-3233,Emanuelly e Theo Corretores
Elias e Malu Alimentos ME,46921984000144,208867406,19/07/2019,www.eliasemalualimentosme.com.br,contato@eliasemalualimentosme.com.br,74083-280,Rua 102C,872,Setor Sul,Goiânia,GO,(62) 3669-7222,(62) 99113-4231,Elias e Malu Alimentos
